ID,Name,Alter,Stadt,Beruf,Gehalt,Datum
45,Ing. Knut Wesack B.Sc.,60,Bayreuth,Chirurgiemechaniker,66501,2020-06-01
46,Susanna Dietz B.Sc.,63,Mayen,Elektroniker,57476,2022-05-17
47,Annemarie Geisel,41,Kleve,Altenpfleger,54801,2022-12-04
48,Hans-Michael Weitzel,29,Rothenburg ob der Tauber,Bäcker,57702,2020-02-03
49,Hans-Herbert Wiek,62,Schwäbisch Gmünd,Florist,77284,2023-01-27
50,Catharina Mitschke,41,Altötting,Koreanistiker,60599,2023-02-18
51,Mohamed Schottin,30,Bremen,Schornsteinfeger,73315,2023-08-04
52,Luise Rohleder MBA.,39,Beilngries,Erzieher,49510,2023-03-26
53,Daria Trub,55,Ansbach,Florist,37692,2020-08-25
54,Gerda Heß-Weinhage,59,Lübeck,Winzer,46910,2022-04-06
55,Karl-Heinz Heidrich,54,Nauen,Techniker,54896,2024-07-16
56,Utz Aumann,36,Kehl,Elektroniker,45098,2020-03-17
57,Theodora Briemer,33,Großenhain,Augenoptiker,72510,2022-11-03
58,Ortrud Fischer,60,Stollberg,Medizininformatiker,66822,2021-01-15
59,Univ.Prof. Fabienne Hiller,59,Merseburg,Chirurgiemechaniker,52946,2024-06-07
60,Laszlo Trapp,51,Deggendorf,Krankenschwester,62545,2020-09-05
61,Elke Hiller,46,Finsterwalde,Programmierer,36759,2022-03-19
62,Dr. Hans-Werner Grein Groth B.A.,60,Plauen,Arzt,40041,2023-04-26
63,Oscar Tlustek,26,Olpe,Artist,69295,2023-03-08
64,Aribert Hethur,40,Eisenberg,Elektroniker,74518,2022-09-06
65,Janusz Süßebier,44,Zeulenroda,Techniker,34554,2023-08-17
66,Cathleen Gunpf,19,Wunsiedel,Chirurgiemechaniker,71758,2022-12-04
67,Herr Senol Becker,59,Wurzen,Arzt,46955,2020-09-26
68,Egbert Nette B.Sc.,31,Lobenstein,Florist,62384,2022-06-01
69,Jann Buchholz B.Eng.,56,Oberviechtach,Winzer,60072,2024-04-19
70,Gerdi Mude,39,Flöha,Bäcker,60232,2023-12-05
71,Gerold Nette-Hörle,64,Mallersdorf,Winzer,47771,2022-02-26
72,Dipl.-Ing. Sönke Geisler MBA.,34,Pritzwalk,Techniker,57250,2021-05-02
73,Alicia Birnbaum B.Sc.,42,Gütersloh,Mechaniker,41995,2022-03-28
74,Univ.Prof. Solveig Fiebig,48,Crailsheim,Schornsteinfeger,35813,2022-05-24
75,Götz Bachmann B.Eng.,35,Großenhain,Mathematiker,33879,2024-07-04
76,Dipl.-Ing. Frithjof Baum,20,Starnberg,Techniker,75246,2021-05-02
77,Stephan Anders,56,Ochsenfurt,Arzt,33751,2020-09-24
78,Dr. Angelica Segebahn,49,Monschau,Koreanistiker,56534,2022-10-22
79,Univ.Prof. Marta Tröst,32,Göttingen,Polizist,79812,2020-05-05
80,Eberhard Gutknecht,51,Oschatz,Artist,53291,2021-04-23
81,Dipl.-Ing. Emanuel Kostolzin B.Eng.,62,Kötzting,Augenoptiker,57014,2020-02-13
82,Patrik Jacobi Jäckel-Preiß,27,Mühlhausen,Friseur,78174,2020-03-03
83,Heiderose Stey MBA.,48,Brand,Ausbaufacharbeiter,55291,2021-07-12
84,Univ.Prof. Cilly Linke,45,Garmisch-Partenkirchen,Artist,49137,2020-01-30
85,Ingmar Fechner MBA.,47,Olpe,Techniker,40947,2022-06-01
86,Thies Hesse,42,Jülich,Elektroniker,58080,2022-04-03
87,Hinrich Bruder,59,Eisenberg,Pilot,78133,2023-02-28
88,Sükrü Kruschwitz-Baum,57,Eberswalde,Fleischer,64256,2020-05-18
89,Donald Trubin B.Eng.,22,Angermünde,Krankenschwester,55286,2024-05-26
90,Prof. Artur Rogge MBA.,56,Genthin,Mechaniker,65056,2022-08-26
91,Dr. Peggy Killer B.A.,57,Helmstedt,Bäcker,33090,2020-06-25
92,Karsten Förster B.Eng.,32,Spremberg,Chirurgiemechaniker,47032,2022-06-25
93,Gundi Löchel,23,Husum,Chemikant,53144,2021-12-05
94,Claudius Matthäi,20,Burglengenfeld,Informatiker,54354,2024-07-24
95,Prof. Louis Ritter,37,Hohenmölsen,Krankenschwester,44016,2022-05-26
96,Ayse Mosemann,52,Senftenberg,Florist,63628,2022-04-27
97,Patrik Dowerg B.Eng.,28,Lörrach,Asphaltbauer,36618,2021-09-09
98,Thoralf Ebert B.A.,32,Calw,Florist,75183,2023-01-02
99,Silvana Kallert MBA.,40,Aue,Drogist,50596,2024-04-03
100,Rahel Hamann B.A.,38,Brandenburg,Florist,78740,2023-05-12
101,Univ.Prof. Gerd Koch B.Sc.,60,Hannover,Pilot,55261,2024-06-01
102,Vladimir Beier,41,Weißenfels,Mathematiker,79363,2023-01-23
103,Hans Georg Gerlach,47,Celle,Mechaniker,33962,2021-02-10
104,Prof. Brian Misicher,44,Ravensburg,Arzt,50123,2021-05-29
105,Ing. Jacek Schäfer B.Eng.,22,Schwandorf,Informatiker,52954,2020-09-16
106,Helmtrud Koch II,54,Augsburg,Schornsteinfeger,51309,2023-09-03
107,Uschi Jacob-Scheel,56,Lichtenfels,Pilot,71208,2023-04-11
108,Patric Kambs,50,Schwabmünchen,Chirurgiemechaniker,77750,2023-12-27
109,Ekkehard Schleich B.Sc.,43,Parsberg,Mathematiker,33672,2021-07-13
110,Dipl.-Ing. Siegrun Mohaupt B.Sc.,43,Zossen,Pfleger,43990,2020-04-30
111,Marko Heinz,35,Wertingen,Ausbaufacharbeiter,52688,2022-07-25
112,Clara Ernst,60,Bautzen,Ausbaufacharbeiter,43436,2022-09-04
113,Saskia Henk,26,Karlsruhe,Ausbaufacharbeiter,35268,2020-06-23
114,Alma Dörr,36,Güstrow,Techniker,68986,2024-07-14
115,Kathi Beckmann-Möchlichen,31,Bremervörde,Koreanistiker,63046,2024-02-02
116,Andreas Roskoth,63,Koblenz,Forstwirt,55186,2020-07-05
117,Inga Koch,20,Böblingen,Fachinformatiker,73821,2023-05-04
118,Dorle Nerger,65,Kaiserslautern,Chirurgiemechaniker,67827,2021-01-25
119,Romy Schleich-Heintze,49,Augsburg,Asphaltbauer,53904,2024-04-28
120,Wieslaw Pruschke,55,Neustadt am Rübenberge,Designer,44585,2020-08-24
121,Univ.Prof. Gustav Flantz B.Sc.,61,Cuxhaven,Bankkaufmann,38395,2024-01-15
122,Maurizio Hamann,18,Hettstedt,Bankkaufmann,33487,2024-01-05
123,Vinko Bauer-Segebahn,30,Parsberg,Forstwirt,33227,2021-12-05
124,Prof. Kay-Uwe Rörricht,34,Rothenburg ob der Tauber,Artist,46955,2020-04-01
125,Egbert Rosenow,50,Illertissen,Asphaltbauer,57966,2022-08-14
126,Frieder Koch II B.A.,34,Altentreptow,Arzt,34006,2021-07-13
127,Jacek Atzler B.Sc.,44,Illertissen,Pfleger,79444,2021-12-01
128,Heribert Schlosser,47,Groß-Gerau,Pilot,77448,2024-05-17
129,Prof. Marten Lindau,54,Grafenau,Designer,35318,2020-07-16
130,Jens-Uwe Anders,34,Wesel,Krankenschwester,73429,2020-08-30
131,Frau Florence Thanel B.Eng.,36,Angermünde,Krankenschwester,64347,2022-01-06
132,Hansjürgen Peukert-Segebahn,25,Plauen,Augenoptiker,72121,2024-03-30
133,Ingrid Dippel,49,Illertissen,Medizininformatiker,66014,2024-07-07
134,Gerta Tintzmann B.A.,21,Wismar,Winzer,52135,2023-04-16
135,Irmhild Bähr-Ring,18,Plauen,Beamter,39011,2023-09-04
136,Justus Schenk,27,Meiningen,Chemikant,64684,2021-06-05
137,Dimitri Wirth-Nerger,39,Sondershausen,Forstwirt,72138,2021-08-10
138,Erhard Hermann,39,Stadtsteinach,Techniker,45817,2021-11-08
139,Heinz-Gerd Etzold,46,Lüdinghausen,Florist,37016,2023-08-22
140,Dr. Karl-Werner Schönland MBA.,30,Schwäbisch Gmünd,Arzt,51658,2023-11-29
141,Joachim Graf,50,Borna,Designer,32555,2020-04-19
142,Univ.Prof. Wilfriede Hein B.Sc.,24,Wittmund,Florist,38101,2020-04-09
143,Lea Kallert,34,Uffenheim,Bankkaufmann,34287,2022-01-05
144,Saban Schmidt,61,Freital,Programmierer,57424,2020-10-07
145,Bärbel Atzler,51,Schwäbisch Gmünd,Techniker,50537,2020-03-06
146,Jörn Juncken,39,Zschopau,Pfleger,54410,2023-10-17
147,Gerwin Rohleder B.Eng.,19,Jessen,Bankkaufmann,79073,2024-07-01
148,Ing. Friedhilde Hethur MBA.,30,Schmölln,Erzieher,36165,2022-10-02
149,Aenne Schinke,58,Erbisdorf,Pilot,77289,2024-05-11
150,Katherina Stadelmann,36,Dessau,Beamter,58179,2020-06-15
151,Prof. Marian Hölzenbecher,52,Ahaus,Fleischer,79786,2023-12-24
152,Cynthia Lange,54,Soltau,Mathematiker,75119,2022-10-21
153,Dr. Eleni Kabus B.Eng.,31,Gerolzhofen,Asphaltbauer,70551,2023-09-17
154,Blanka Krause,47,Tuttlingen,Chemikant,74399,2024-02-29
155,Ing. Heinz-Josef Niemeier B.Sc.,41,Eisenhüttenstadt,Mathematiker,67562,2022-02-20
156,Irina Eckbauer-Hofmann,30,Jena,Asphaltbauer,74490,2023-11-09
157,Erica Stolze,39,Arnstadt,Krankenschwester,34345,2022-04-29
158,Asta Winkler B.Sc.,36,Northeim,Medizininformatiker,33632,2022-04-24
159,Lydia Hettner B.Sc.,29,Wolfenbüttel,Friseur,55799,2021-03-13
160,Dr. Undine Lindau,37,Eichstätt,Koreanistiker,37558,2023-12-19
161,Ilona Sontag-Kusch,40,Magdeburg,Binnenschiffer,50277,2021-04-09
162,Wieslaw Bärer,56,Mayen,Chemikant,64100,2022-09-10
163,Klaus-Werner Haering,23,Miltenberg,Elektroniker,45702,2022-02-08
164,Trudi Zahn,45,Schwerin,Fleischer,46639,2021-05-30
165,Hans-Jochen Hornig,29,Peine,Augenoptiker,73285,2024-01-16
166,Antoinette Wilms,22,Witzenhausen,Asphaltbauer,35121,2022-10-21
167,Karlheinz Roht MBA.,51,Ingolstadt,Elektroniker,35505,2021-10-22
168,Paul-Heinz Salz-Riehl,45,Werdau,Pfleger,66940,2024-08-10
169,Univ.Prof. Martin Hölzenbecher B.A.,49,Bamberg,Florist,57508,2022-11-24
170,Magret Trupp,20,Torgau,Informatiker,60625,2020-06-06
171,Rüdiger Eberth,45,Rochlitz,Bäcker,79787,2021-07-28
172,Trudel Graf MBA.,51,Malchin,Florist,30811,2023-11-17
173,Ing. Karl Heidrich,47,Regensburg,Pilot,66627,2022-01-20
174,Prof. Eugenia Liebelt B.A.,25,Rosenheim,Pfleger,75675,2020-12-10
175,Helma Wende,26,Cottbus,Pfleger,65453,2023-01-21
176,Hubert Spieß,43,Pirmasens,Bankkaufmann,69719,2024-08-06
177,Rosa-Maria Roht-Trapp,34,Artern,Artist,45310,2020-06-09
178,Denny Gunpf,32,Senftenberg,Bäcker,54420,2021-10-24
179,Josefa Hamann,50,Stade,Drogist,42683,2024-04-26
180,Mikhail Hering,20,Kaiserslautern,Polizist,73936,2020-04-10
181,Lothar Dehmel B.A.,36,Forchheim,Pilot,36500,2024-05-16
182,Necati Kallert-Ring,19,Germersheim,Ausbaufacharbeiter,62446,2024-01-29
183,Mandy Bien,27,Paderborn,Schornsteinfeger,69873,2024-05-20
184,Marvin Gerlach,28,Dieburg,Fachinformatiker,52675,2023-04-30
185,Paulina Kusch,34,Gifhorn,Informatiker,76154,2023-04-10
186,Sybilla Geisel,25,Greifswald,Pilot,71862,2023-06-13
187,Frau Norma Bruder B.A.,19,Nabburg,Programmierer,44798,2022-02-08
188,Alexei auch Schlauchin,53,Delitzsch,Elektroniker,64129,2020-12-22
189,Inge Rose,28,Klötze,Florist,68118,2022-07-02
190,Dipl.-Ing. Eugen Gorlitz,32,Steinfurt,Designer,47929,2021-09-24
191,Dr. Alessandro Jockel,39,Havelberg,Fleischer,71363,2020-08-08
192,Karlheinz Eberhardt,32,Lüneburg,Winzer,38615,2024-06-21
193,Theo Reising,18,Weimar,Drogist,47784,2023-07-18
194,Herr Raik Barth,52,Kelheim,Erzieher,73634,2020-10-04
195,Frau Dorina Säuberlich,41,Tuttlingen,Artist,51647,2020-06-20
196,Imke Kroker,58,Forst,Florist,44349,2020-12-24
197,Mohammad Wesack,19,Steinfurt,Altenpfleger,53697,2022-03-07
198,Anett Kade-Stahr,40,Wolfenbüttel,Asphaltbauer,65822,2023-07-18
199,Herr Leo Dörr,24,Parsberg,Bankkaufmann,54871,2020-11-09
200,Christiana Drewes,23,Aurich,Forstwirt,44505,2023-02-10
